"idResource","idUser","chosenCategory","incentive"
66445,311,5,"EXTRINSIC"
66445,671,5,"EXTRINSIC"
66445,672,5,"EXTRINSIC"
66446,672,5,"EXTRINSIC"
66446,311,5,"EXTRINSIC"
66446,671,5,"EXTRINSIC"
66446,720,5,"EXTRINSIC"
66447,671,5,"EXTRINSIC"
66447,311,5,"EXTRINSIC"
66448,672,5,"EXTRINSIC"
66448,671,5,"EXTRINSIC"
66451,672,5,"EXTRINSIC"
66451,671,5,"EXTRINSIC"
66453,671,5,"EXTRINSIC"
66457,672,5,"EXTRINSIC"
66457,671,5,"EXTRINSIC"
66457,714,5,"EXTRINSIC"
66457,93,5,"EXTRINSIC"
66457,713,5,"EXTRINSIC"
66469,672,5,"EXTRINSIC"
66469,674,5,"EXTRINSIC"
66469,682,6,"EXTRINSIC"
66469,671,2,"EXTRINSIC"
66469,93,4,"EXTRINSIC"
66472,674,5,"EXTRINSIC"
66472,677,5,"EXTRINSIC"
66472,672,6,"EXTRINSIC"
66494,671,5,"EXTRINSIC"
66494,672,5,"EXTRINSIC"
66496,672,5,"EXTRINSIC"
66496,311,5,"EXTRINSIC"
66496,671,5,"EXTRINSIC"
66499,672,5,"EXTRINSIC"
66499,671,5,"EXTRINSIC"
66508,671,5,"EXTRINSIC"
66508,672,5,"EXTRINSIC"
66508,311,5,"EXTRINSIC"
66514,311,5,"EXTRINSIC"
66514,672,5,"EXTRINSIC"
66514,723,5,"EXTRINSIC"
66514,671,5,"EXTRINSIC"
66514,721,5,"EXTRINSIC"
66517,672,5,"EXTRINSIC"
66517,682,5,"EXTRINSIC"
66517,704,1,"EXTRINSIC"
66517,674,2,"EXTRINSIC"
66517,648,5,"EXTRINSIC"
66517,671,6,"EXTRINSIC"
66518,671,5,"EXTRINSIC"
66518,311,5,"EXTRINSIC"
66525,671,6,"EXTRINSIC"
66525,672,5,"EXTRINSIC"
66527,671,4,"EXTRINSIC"
66527,672,4,"EXTRINSIC"
66527,93,5,"EXTRINSIC"
66528,720,5,"EXTRINSIC"
66528,671,5,"EXTRINSIC"
66528,672,5,"EXTRINSIC"
66528,311,4,"EXTRINSIC"
66531,714,5,"EXTRINSIC"
66531,13,5,"EXTRINSIC"
66531,671,4,"EXTRINSIC"
66531,672,5,"EXTRINSIC"
66536,717,5,"EXTRINSIC"
66536,672,5,"EXTRINSIC"
66536,671,5,"EXTRINSIC"
66539,682,5,"EXTRINSIC"
66539,672,5,"EXTRINSIC"
66552,311,6,"EXTRINSIC"
66552,281,5,"EXTRINSIC"
66552,672,5,"EXTRINSIC"
66552,717,6,"EXTRINSIC"
66552,671,5,"EXTRINSIC"
66565,672,5,"EXTRINSIC"
66565,671,5,"EXTRINSIC"
66573,672,5,"EXTRINSIC"
66573,671,5,"EXTRINSIC"
66573,311,5,"EXTRINSIC"
66577,682,6,"EXTRINSIC"
66577,671,1,"EXTRINSIC"
66577,93,5,"EXTRINSIC"
66577,672,5,"EXTRINSIC"
66578,672,5,"EXTRINSIC"
66578,671,5,"EXTRINSIC"
66580,672,1,"EXTRINSIC"
66580,671,1,"EXTRINSIC"
66580,682,5,"EXTRINSIC"
66588,671,5,"EXTRINSIC"
66588,672,5,"EXTRINSIC"
66589,672,5,"EXTRINSIC"
66589,714,5,"EXTRINSIC"
66589,671,5,"EXTRINSIC"
66589,311,5,"EXTRINSIC"
66590,670,4,"EXTRINSIC"
66590,672,5,"EXTRINSIC"
66590,671,6,"EXTRINSIC"
66590,674,5,"EXTRINSIC"
66593,671,5,"EXTRINSIC"
66593,672,5,"EXTRINSIC"
66604,671,5,"EXTRINSIC"
66604,672,5,"EXTRINSIC"
66604,720,5,"EXTRINSIC"
66604,721,5,"EXTRINSIC"
66604,311,5,"EXTRINSIC"
66610,281,5,"EXTRINSIC"
66610,671,5,"EXTRINSIC"
66610,311,6,"EXTRINSIC"
66610,672,5,"EXTRINSIC"
66610,717,5,"EXTRINSIC"
66617,311,5,"EXTRINSIC"
66617,672,5,"EXTRINSIC"
66617,717,4,"EXTRINSIC"
66617,13,3,"EXTRINSIC"
66617,281,5,"EXTRINSIC"
66617,720,5,"EXTRINSIC"
66617,671,5,"EXTRINSIC"
66619,728,5,"EXTRINSIC"
66619,729,5,"EXTRINSIC"
66619,311,4,"EXTRINSIC"
66619,721,3,"EXTRINSIC"
66619,723,4,"EXTRINSIC"
66619,671,5,"EXTRINSIC"
66619,672,5,"EXTRINSIC"
66619,720,5,"EXTRINSIC"
66619,727,5,"EXTRINSIC"
66630,648,5,"EXTRINSIC"
66630,672,5,"EXTRINSIC"
66630,674,2,"EXTRINSIC"
66630,670,6,"EXTRINSIC"
66633,671,5,"EXTRINSIC"
66633,672,5,"EXTRINSIC"
66643,311,6,"EXTRINSIC"
66643,721,2,"EXTRINSIC"
66643,720,2,"EXTRINSIC"
66643,672,4,"EXTRINSIC"
66643,671,4,"EXTRINSIC"
66643,717,6,"EXTRINSIC"
66651,671,4,"EXTRINSIC"
66651,717,4,"EXTRINSIC"
66651,672,4,"EXTRINSIC"
66654,311,6,"EXTRINSIC"
66654,717,4,"EXTRINSIC"
66654,716,3,"EXTRINSIC"
66654,671,6,"EXTRINSIC"
66654,714,6,"EXTRINSIC"
66654,672,6,"EXTRINSIC"
66654,13,3,"EXTRINSIC"
66662,311,6,"EXTRINSIC"
66662,671,6,"EXTRINSIC"
66667,93,6,"EXTRINSIC"
66667,699,3,"EXTRINSIC"
66667,692,2,"EXTRINSIC"
66667,697,3,"EXTRINSIC"
66667,698,3,"EXTRINSIC"
66667,671,6,"EXTRINSIC"
66667,695,2,"EXTRINSIC"
66667,694,6,"EXTRINSIC"
66667,682,6,"EXTRINSIC"
66667,674,4,"EXTRINSIC"
66667,672,3,"EXTRINSIC"
66667,701,6,"EXTRINSIC"
66667,670,6,"EXTRINSIC"
66672,672,6,"EXTRINSIC"
66672,682,6,"EXTRINSIC"
66709,671,4,"EXTRINSIC"
66709,311,4,"EXTRINSIC"
66709,720,4,"EXTRINSIC"
66709,672,4,"EXTRINSIC"
66710,672,5,"EXTRINSIC"
66710,93,4,"EXTRINSIC"
66710,671,4,"EXTRINSIC"
66712,672,6,"EXTRINSIC"
66712,677,4,"EXTRINSIC"
66719,670,5,"EXTRINSIC"
66719,281,3,"EXTRINSIC"
66719,720,3,"EXTRINSIC"
66719,311,3,"EXTRINSIC"
66719,721,5,"EXTRINSIC"
66719,727,5,"EXTRINSIC"
66719,723,5,"EXTRINSIC"
66719,672,4,"EXTRINSIC"
66719,717,4,"EXTRINSIC"
66719,671,5,"EXTRINSIC"
66720,311,4,"EXTRINSIC"
66720,672,4,"EXTRINSIC"
66720,671,4,"EXTRINSIC"
66721,311,4,"EXTRINSIC"
66721,671,4,"EXTRINSIC"
66722,714,6,"EXTRINSIC"
66722,672,6,"EXTRINSIC"
66722,671,6,"EXTRINSIC"
66728,721,6,"EXTRINSIC"
66728,311,6,"EXTRINSIC"
66728,671,6,"EXTRINSIC"
66728,672,6,"EXTRINSIC"
66734,714,4,"EXTRINSIC"
66734,671,4,"EXTRINSIC"
66734,672,4,"EXTRINSIC"
66736,671,6,"EXTRINSIC"
66736,672,6,"EXTRINSIC"
66739,311,4,"EXTRINSIC"
66739,672,4,"EXTRINSIC"
66739,671,4,"EXTRINSIC"
66743,671,4,"EXTRINSIC"
66762,670,5,"EXTRINSIC"
66762,672,3,"EXTRINSIC"
66762,671,1,"EXTRINSIC"
66765,672,4,"EXTRINSIC"
66765,671,4,"EXTRINSIC"
66765,93,4,"EXTRINSIC"
66767,671,4,"EXTRINSIC"
66767,672,4,"EXTRINSIC"
66767,13,4,"EXTRINSIC"
66767,717,4,"EXTRINSIC"
66770,672,6,"EXTRINSIC"
66770,671,1,"EXTRINSIC"
66776,671,6,"EXTRINSIC"
66776,672,6,"EXTRINSIC"
66777,671,4,"EXTRINSIC"
66777,672,5,"EXTRINSIC"
66777,13,4,"EXTRINSIC"
66777,717,4,"EXTRINSIC"
66777,311,5,"EXTRINSIC"
66777,281,5,"EXTRINSIC"
66778,671,6,"EXTRINSIC"
66778,93,5,"EXTRINSIC"
66778,672,6,"EXTRINSIC"
66778,682,5,"EXTRINSIC"
66780,311,2,"EXTRINSIC"
66780,671,2,"EXTRINSIC"
66780,672,2,"EXTRINSIC"
66781,671,4,"EXTRINSIC"
66782,281,4,"EXTRINSIC"
66782,311,4,"EXTRINSIC"
66782,717,4,"EXTRINSIC"
66782,672,4,"EXTRINSIC"
66782,671,5,"EXTRINSIC"
66783,311,6,"EXTRINSIC"
66783,712,4,"EXTRINSIC"
66783,714,6,"EXTRINSIC"
66783,93,4,"EXTRINSIC"
66783,671,2,"EXTRINSIC"
66783,672,6,"EXTRINSIC"
66783,713,6,"EXTRINSIC"
66785,671,4,"EXTRINSIC"
66785,672,4,"EXTRINSIC"
66786,311,4,"EXTRINSIC"
66786,672,4,"EXTRINSIC"
66786,714,4,"EXTRINSIC"
66786,717,4,"EXTRINSIC"
66786,671,6,"EXTRINSIC"
66786,13,2,"EXTRINSIC"
66786,281,2,"EXTRINSIC"
66786,93,3,"EXTRINSIC"
66789,672,4,"EXTRINSIC"
66789,674,4,"EXTRINSIC"
66789,670,4,"EXTRINSIC"
66790,682,6,"EXTRINSIC"
66790,674,3,"EXTRINSIC"
66790,671,6,"EXTRINSIC"
66790,93,5,"EXTRINSIC"
66790,672,6,"EXTRINSIC"
66790,687,5,"EXTRINSIC"
66790,681,4,"EXTRINSIC"
66796,311,3,"EXTRINSIC"
66796,672,6,"EXTRINSIC"
66796,717,3,"EXTRINSIC"
66796,671,6,"EXTRINSIC"
66800,93,4,"EXTRINSIC"
66800,672,2,"EXTRINSIC"
66800,671,4,"EXTRINSIC"
66803,311,5,"EXTRINSIC"
66803,671,5,"EXTRINSIC"
66803,721,5,"EXTRINSIC"
66803,720,5,"EXTRINSIC"
66803,672,5,"EXTRINSIC"
66804,671,4,"EXTRINSIC"
66804,672,4,"EXTRINSIC"
66814,674,4,"EXTRINSIC"
66814,670,6,"EXTRINSIC"
66814,672,6,"EXTRINSIC"
66814,698,4,"EXTRINSIC"
66819,682,6,"EXTRINSIC"
66819,671,6,"EXTRINSIC"
66819,672,6,"EXTRINSIC"
66819,704,1,"EXTRINSIC"
66819,707,6,"EXTRINSIC"
66822,93,6,"EXTRINSIC"
66822,714,6,"EXTRINSIC"
66822,671,6,"EXTRINSIC"
66822,672,6,"EXTRINSIC"
66826,671,4,"EXTRINSIC"
66826,672,4,"EXTRINSIC"
66835,674,3,"EXTRINSIC"
66835,672,6,"EXTRINSIC"
66835,93,4,"EXTRINSIC"
66835,682,6,"EXTRINSIC"
66835,681,6,"EXTRINSIC"
66844,672,1,"EXTRINSIC"
66844,670,1,"EXTRINSIC"
66844,671,6,"EXTRINSIC"
66852,672,1,"EXTRINSIC"
66852,311,1,"EXTRINSIC"
66852,671,1,"EXTRINSIC"
66862,671,1,"EXTRINSIC"
66862,311,1,"EXTRINSIC"
66862,672,1,"EXTRINSIC"
66862,721,1,"EXTRINSIC"
66869,704,1,"EXTRINSIC"
66869,671,1,"EXTRINSIC"
66869,672,6,"EXTRINSIC"
66870,671,1,"EXTRINSIC"
66870,672,1,"EXTRINSIC"
66870,93,1,"EXTRINSIC"
66870,714,1,"EXTRINSIC"
66871,672,1,"EXTRINSIC"
