"idResource","aggregateCategory"
66445,5
66446,5
66447,5
66448,5
66451,5
66453,5
66457,5
66469,5
66472,5
66494,5
66496,5
66499,5
66508,5
66514,5
66517,5
66518,5
66525,5
66527,5
66528,5
66531,5
66536,5
66539,5
66552,5
66565,5
66573,5
66577,5
66578,5
66580,1
66588,5
66589,5
66590,5
66593,5
66604,5
66610,5
66617,5
66619,5
66630,5
66633,5
66643,2
66651,4
66654,6
66662,6
66667,6
66672,6
66709,4
66710,4
66712,4
66719,5
66720,4
66721,4
66722,6
66728,6
66734,4
66736,6
66739,4
66743,4
66762,5
66765,4
66767,4
66770,1
66776,6
66777,5
66778,5
66780,2
66781,4
66782,4
66783,6
66785,4
66786,2
66789,4
66790,5
66796,6
66800,4
66803,5
66804,4
66814,4
66819,6
66822,6
66826,4
66835,4
66844,1
66852,1
66862,1
66869,1
66870,1
66871,1
66879,6
66882,1
66889,1
66890,1
66910,1
66911,1
66923,1
66928,1
66932,1
66941,1
66945,1
66948,1
66960,1
66962,1
66965,1
66985,1
66986,1
66988,1
66990,1
66994,1
66997,1
67008,1
67016,6
67020,1
67028,1
67031,1
67033,1
67047,2
67053,2
67057,2
67066,2
67076,2
67082,2
67085,2
67097,2
67099,2
67100,2
67107,2
67116,2
67119,2
67140,6
67143,2
67149,2
67156,2
67160,2
67166,2
67179,2
67193,2
67196,2
67237,6
67240,6
67244,6
67253,6
67255,5
67263,6
67269,6
67281,6
67282,5
67298,6
67305,6
67315,6
67323,6
67331,6
67344,1
67350,6
67356,5
67368,6
67374,6
67376,6
67378,5
67385,6
67395,6
67396,6
67400,6
67409,6
67413,6
67417,6
67419,6
67422,6
67423,6
67428,6
67431,6
67432,6
67435,3
67437,5
67438,6
67439,3
67441,1
67443,1
67449,6
67461,5
67463,6
67469,3
67474,3
67484,1
67485,5
67487,1
67495,5
67496,4
67501,4
67504,6
67505,3
67510,3
67511,3
67516,3
67518,6
67519,3
67524,4
67526,1
67532,6
67538,4
67541,3
67544,3
67554,3
67558,3
67560,3
67572,6
67581,6
67582,6
67593,5
67601,3
67604,3
67606,6
67607,3
67613,6
67616,3
67619,3
67624,3
67630,5
67636,6
67637,6
67638,6
67639,6
67640,2
67641,6
67642,6
67643,6
67644,6
67645,2
67646,6
67648,6
67650,2
67651,6
67654,6
67655,2
67656,6
67657,6
67658,6
67659,6
67661,6
67663,6
67664,6
67665,2
67666,6
67667,6
67669,6
67671,6
67673,6
67674,6
67675,2
67676,6
67677,6
67678,6
67679,6
67680,2
67682,6
67683,6
67684,1
67686,6
67687,6
67688,6
67691,6
67692,6
67694,6
67695,2
67696,6
67697,6
67698,6
67699,6
67700,2
67702,6
67703,6
67704,6
67705,2
67707,6
67708,6
67709,6
67711,6
67712,6
67714,6
67715,2
67716,6
67717,6
67718,6
67720,2
67721,6
67722,6
67723,6
67725,2
67726,6
67727,6
67728,6
67729,6
67730,2
67734,6
67736,6
67737,6
67738,6
67739,6
67741,6
67742,6
67743,6
67744,6
67745,2
67746,6
67747,6
67748,6
67750,2
67752,6
67753,6
67755,2
67756,6
67757,6
67758,6
67759,1
67760,2
67761,6
67762,6
67763,6
67764,1
67766,6
67767,6
67768,6
67769,2
67770,6
67771,6
67772,6
67773,6
67774,2
67776,6
67777,6
67778,6
67779,2
67780,6
67781,6
67782,6
67783,6
67784,2
67786,6
67787,6
67788,6
67790,6
67791,6
67792,6
67793,6
67794,2
67795,6
67796,6
67797,6
67798,6
67800,6
67801,6
67802,6
67803,6
67804,2
67811,6
67812,6
67813,2
67814,6
67817,6
67818,2
67819,6
67821,6
67822,6
67823,2
67824,6
67825,6
67826,6
67827,6
67828,2
67829,6
67832,6
67833,2
67835,6
67836,6
67837,6
67838,2
67839,6
67840,6
67841,6
67842,6
67844,6
67845,6
67846,6
67847,3
67848,2
67849,6
67850,6
67852,6
67853,2
67854,6
67855,6
67856,6
67857,6
67858,2
67859,6
67860,6
67861,6
67863,2
67864,6
67865,6
67866,6
67867,6
67868,2
67869,6
67870,6
67871,6
67872,6
67873,2
67876,6
67877,6
67878,2
67879,6
67880,6
67881,6
67883,2
67884,6
67885,6
67886,6
67888,2
67889,6
67890,3
67892,6
67893,2
67895,4
67897,6
67899,6
67900,6
67901,6
67902,6
67903,2
67904,6
67906,6
67907,6
67909,6
67910,4
67911,6
67912,6
67913,2
67914,6
67915,4
67916,6
67918,2
67919,6
67920,4
67922,6
67923,2
67926,6
67927,6
67928,2
67929,6
67934,6
67935,3
67936,6
67937,6
67938,2
67939,6
67940,5
67941,6
67942,6
67948,2
67949,6
67950,4
67951,6
67952,6
67953,2
67954,6
67956,6
67958,2
67959,6
67961,6
67962,6
67964,6
67965,4
67967,6
67968,2
67970,4
67971,6
67972,6
67974,6
67977,6
67979,6
67981,6
67982,6
67984,6
67986,6
67987,6
67988,2
67989,6
67990,4
67991,6
67992,6
67993,2
67994,6
67995,4
67997,6
67998,2
68000,4
68001,6
68002,6
68003,2
68006,6
68007,6
68008,2
68010,4
68011,6
68013,2
68014,6
68015,4
68016,6
68017,6
68018,2
68019,6
68020,6
68021,6
68022,6
68023,2
68024,6
68025,6
68026,6
68027,6
68028,2
68029,6
68030,6
68032,6
68033,2
68035,6
68037,2
68039,6
68041,6
68043,6
68044,6
68045,6
68046,6
68047,2
68049,6
68050,6
68051,6
68052,2
68053,6
68054,6
68055,6
68056,6
68058,6
68059,6
68060,6
68061,6
68062,2
68063,6
68064,6
68065,6
68066,6
68067,2
68068,6
68069,6
68070,6
68071,6
68072,2
68073,6
68074,6
68076,6
68077,2
68078,6
68080,6
68083,6
68084,6
68085,6
68087,2
68088,6
68089,6
68090,6
68091,6
68092,2
68093,6
68096,6
68097,2
68098,6
68100,6
68101,2
68102,6
68103,6
68104,6
68105,6
68107,6
68108,6
68111,2
68112,6
68113,6
68115,6
68116,2
68117,6
68118,6
68119,6
68120,6
68121,2
68125,6
68126,2
68127,6
68129,6
68132,6
68134,6
68136,2
68137,6
68139,6
68140,6
68141,2
68142,6
68143,6
68144,6
68145,6
68146,2
68148,6
68149,6
68150,6
68151,2
68153,6
68154,6
68155,6
68157,6
68158,6
68159,6
68160,6
68161,2
68162,6
68164,6
68168,6
68169,6
68170,6
68171,2
68173,6
68176,2
68177,6
68178,6
68179,6
68181,2
68182,6
68183,6
68184,6
68185,2
68186,6
68187,6
68189,6
68190,2
68191,6
68192,6
68193,6
68194,6
68195,2
68196,6
68197,6
68198,6
68200,6
68201,6
68202,6
68203,6
68204,2
68205,6
68209,2
68210,6
68211,6
68212,6
68213,6
68214,2
68215,6
68216,6
68217,6
68218,6
68220,6
68221,6
68222,6
68223,6
68224,2
68225,6
68226,6
68230,6
68231,6
68232,6
68233,5
68234,2
68235,6
68236,6
68238,5
68241,6
68244,2
68245,6
68248,6
68249,2
68250,6
68252,5
68254,2
68255,6
68256,6
68257,5
68258,5
68260,6
68261,6
68262,6
68263,5
68265,6
68266,6
68267,6
68268,5
68269,2
68272,6
68273,5
68274,2
68275,6
68278,5
68279,2
68280,6
68281,6
68282,5
68285,6
68286,6
68287,5
68288,5
68290,6
68291,6
68294,2
68295,6
68296,6
68299,2
68300,6
68301,6
68302,6
68304,2
68306,6
68307,2
68309,2
68310,6
68311,6
68312,6
68313,5
68314,2
68316,6
68318,5
68319,2
68320,6
68323,2
68324,6
68326,3
68327,5
68328,2
68329,6
68330,6
68331,3
68332,5
68334,6
68336,3
68337,5
68339,6
68340,6
68341,3
68342,5
68343,2
68344,6
68345,6
68346,3
68347,5
68348,2
68350,6
68351,3
68352,6
68353,2
68354,6
68356,3
68357,5
68358,2
68359,6
68360,6
68361,3
68362,5
68364,6
68365,6
68368,2
68369,6
68370,6
68372,5
68373,2
68375,6
68376,5
68377,5
68378,2
68381,5
68382,5
68383,2
68384,6
68385,6
68386,6
68387,5
68388,2
68389,6
68390,6
68392,5
68394,6
68397,5
68398,2
68399,6
68402,5
68403,2
68405,6
68407,5
68408,2
68409,6
68411,6
68412,5
68413,2
68414,6
68415,6
68417,5
68418,2
68419,6
68420,6
68422,5
68424,6
68426,5
68427,5
68428,2
68429,6
68430,6
68431,6
68432,5
68433,2
68434,6
68435,6
68436,5
68437,5
68440,6
68441,5
68442,6
68443,2
68444,6
68445,6
68446,5
68447,5
68448,2
68449,6
68450,6
68451,5
68452,6
68453,2
68456,5
68457,6
68458,2
68459,6
68460,6
68461,5
68463,2
68465,6
68467,6
68468,2
68469,6
68470,6
68471,6
68472,6
68473,2
68474,6
68475,6
68477,6
68478,2
68479,6
68480,6
68481,6
68483,2
68484,6
68486,6
68487,6
68488,2
68489,6
68490,6
68493,2
68495,6
68496,6
68497,6
68499,6
68500,6
68501,6
68502,6
68504,6
68505,6
68506,6
68508,2
68509,6
68510,6
68511,6
68512,6
68513,2
68515,6
68516,6
68517,6
68518,2
68519,6
68520,6
68521,6
68522,6
68523,2
68524,6
68525,6
68526,4
68530,6
68531,4
68532,6
68533,2
68535,6
68536,1
68538,2
68539,6
68541,5
68542,6
68543,2
68544,6
68545,6
68547,6
68550,6
68551,6
68552,6
68554,6
68555,6
68556,5
68557,6
68558,2
68559,6
68560,6
68561,6
68562,6
68563,2
68565,6
68566,5
68567,6
68568,2
68569,6
68570,6
68571,6
68573,2
68574,6
68576,5
68577,6
68578,2
68580,6
68581,3
68582,6
68583,2
68584,6
68585,6
68587,6
68588,2
68591,4
68592,6
68593,2
68594,6
68595,6
68596,4
68599,6
68600,6
68602,6
68603,2
68604,6
68606,1
68607,2
68608,6
68610,4
68611,5
68612,2
68613,6
68614,6
68615,4
68616,6
68617,2
68619,6
68620,2
68621,6
68622,2
68623,6
68624,6
68626,6
68627,2
68628,6
68629,6
68630,2
68631,6
68632,2
68633,6
68634,6
68635,1
68637,2
68638,6
68640,4
68641,6
68643,6
68644,6
68648,6
68650,4
68651,6
68652,2
68653,6
68654,6
68656,5
68657,2
68658,6
68659,6
68660,6
68661,5
68663,6
68664,6
68665,4
68666,5
68668,6
68669,6
68670,2
68674,6
68675,2
68676,5
68677,2
68679,6
68680,2
68682,2
68684,6
68685,4
68686,5
68687,2
68688,6
68689,6
68690,4
68691,5
68694,6
68695,4
68698,6
68699,6
68701,5
68703,6
68704,6
68706,5
68708,6
68709,6
68710,4
68711,5
68712,2
68715,4
68716,5
68717,2
68718,6
68719,6
68720,4
68721,5
68722,2
68723,6
68725,4
68726,5
68727,2
68728,6
68730,4
68731,5
68732,2
68734,1
68735,4
68736,5
68737,2
68738,6
68739,1
68740,4
68741,5
68742,2
68743,6
68744,1
68745,4
68746,5
68747,2
68749,1
68751,5
68752,2
68754,6
68756,6
68757,2
68758,6
68759,6
68760,4
68761,6
68762,2
68763,6
68764,6
68765,4
68766,6
68767,2
68768,6
68769,6
68770,4
68771,6
68772,2
68773,6
68774,6
68775,4
68776,6
68777,2
68778,6
68779,6
68780,4
68783,6
68784,6
68785,4
68786,6
68788,6
68790,4
68791,6
68793,6
68794,6
68795,4
68796,6
68797,2
68798,6
68799,6
68800,4
68801,6
68802,2
68803,6
68804,6
68805,4
68806,6
68808,6
68809,6
68810,4
68813,6
68814,6
68815,4
68816,6
68817,2
68818,6
68819,4
68820,6
68821,2
68822,6
68823,6
68827,6
68828,6
68829,4
68830,6
68831,2
68832,6
68833,6
68834,4
68835,6
68836,2
68837,6
68838,6
68839,4
68841,2
68842,6
68843,6
68845,6
68846,2
68852,6
68853,6
68854,4
68855,5
68856,2
68857,6
68858,6
68859,4
68860,5
68862,6
68863,6
68866,2
68867,6
68868,6
68869,4
68870,5
68871,2
68872,6
68873,6
68874,4
68875,5
68876,2
68878,6
68880,5
68881,2
68882,6
68883,6
68884,4
68885,5
68886,2
68888,6
68889,4
68890,5
68891,2
68892,6
68894,4
68895,5
68896,2
68897,6
68900,5
68901,2
68903,6
68904,4
68905,2
68906,6
68907,6
68909,5
68910,2
68913,4
68915,2
68916,6
68917,6
68919,5
68922,6
68927,6
68928,4
68929,5
68930,2
68931,6
68933,4
68934,5
68935,2
68937,6
68938,4
68939,5
68940,2
68942,6
68943,4
68944,5
68945,2
68946,6
68947,6
68948,4
68949,5
68950,2
68952,6
68956,6
68958,4
68959,5
68960,2
68961,6
68963,4
68964,5
68965,2
68966,6
68967,6
68968,4
68969,5
68972,6
68973,4
68974,5
68975,2
68976,6
68977,6
68978,4
68979,5
68980,2
68981,6
68982,6
68983,4
68984,5
68986,6
68987,6
68988,4
68990,2
68992,6
68993,4
68995,2
68996,6
68997,6
68999,5
69003,4
69004,5
69006,6
69007,6
69008,4
69009,5
69010,2
69012,6
69013,5
69014,2
69016,6
69018,5
69019,2
69020,6
69021,6
69022,4
69023,5
69024,2
69027,4
69028,5
69029,2
69030,6
69031,6
69032,4
69033,5
69034,2
69036,6
69040,6
69043,5
69044,2
69045,6
69046,6
69047,4
69048,5
69050,6
69052,4
69054,2
69055,6
69056,6
69057,4
69059,2
69061,6
69062,4
69063,5
69064,2
69065,6
69066,6
69067,4
69068,5
69069,2
69070,6
69071,6
69075,6
69076,6
69077,4
69078,5
69079,2
69081,6
69082,4
69083,5
69084,2
69087,4
69088,5
69089,2
69091,6
69092,4
69093,5
69094,2
69095,6
69096,6
69097,4
69098,5
69099,2
69100,6
69101,6
69102,4
69104,2
69105,6
69106,6
69107,4
69108,5
69110,6
69111,6
69112,4
69113,5
69114,2
69115,6
69117,4
69118,5
69119,2
69120,6
69122,4
69123,5
69124,2
69125,6
69126,6
69127,4
69128,5
69129,2
69131,6
69132,4
69133,2
69135,6
69137,5
69139,6
69140,6
69141,4
69142,5
69143,2
69144,6
69145,6
69146,4
69147,5
69148,2
69149,6
69150,6
69151,4
69152,5
69153,2
69154,6
69155,6
69156,4
69157,5
69160,6
69161,4
69162,5
69165,6
69166,4
69167,5
69169,6
69170,6
69172,5
69173,2
69174,6
69175,6
69177,5
69178,2
69179,6
69180,6
69182,5
69183,2
69184,6
69186,4
69187,5
69188,2
69190,6
69191,4
69194,6
69196,4
69197,5
69198,2
69200,6
69201,4
69202,5
69203,2
69204,6
69205,6
69206,4
69207,5
69208,2
69209,6
69210,6
69211,4
69212,5
69213,2
69214,6
69215,6
69216,4
69217,5
69218,2
69219,6
69220,6
69221,4
69223,2
69224,6
69225,6
69226,4
69227,5
69229,6
69231,4
69232,5
69235,6
69236,4
69237,5
69238,2
69239,6
69241,4
69242,5
69243,2
69244,6
69246,4
69247,5
69250,6
69252,5
69253,2
69254,6
69256,4
69257,5
69258,2
69259,6
69260,6
69261,4
69262,5
69264,6
69265,6
69268,2
69269,6
69270,6
69271,4
69272,5
69273,2
69274,6
69275,6
69276,4
69277,5
69278,2
69279,6
69280,4
69281,5
69282,2
69283,6
69284,6
69285,4
69286,5
69287,2
69288,6
69289,6
69290,4
69291,5
69292,2
69294,6
69295,4
69296,5
69298,6
69299,6
69301,5
69302,2
69303,6
69304,6
69305,5
69306,2
69307,6
69308,6
69310,5
69312,6
69313,6
69315,5
69316,2
69317,6
69318,6
69319,4
69320,5
69322,6
69323,6
69324,4
69325,5
69327,6
69328,6
69329,4
69330,5
69332,6
69333,6
69334,4
69335,5
69337,6
69338,6
69340,5
69341,2
69342,6
69343,6
69345,5
69346,2
69347,6
69350,5
69352,6
69353,6
69354,4
69355,5
69356,2
69357,6
69359,4
69360,5
69361,2
69363,6
69365,5
69366,2
69367,6
69368,6
69369,5
69370,2
69371,6
69372,6
69373,4
69374,5
69375,2
69376,6
69377,6
69378,4
69379,5
69380,2
69381,6
69382,6
69384,5
69385,2
69386,5
69388,4
69390,2
69391,6
69392,6
69393,4
69395,2
69396,6
69397,6
69399,5
69402,6
69403,4
69404,5
69405,2
69406,6
69409,5
69410,2
69411,6
69413,4
69414,5
69416,6
69417,6
69420,2
69422,6
69423,4
69425,2
69426,6
69428,4
69431,6
69432,6
69433,4
69434,5
69435,2
69437,6
69440,2
69441,6
69443,4
69444,6
69447,6
69448,4
69449,5
69450,2
69451,6
69453,4
69454,5
69456,6
69457,6
69458,4
69459,5
69460,2
69461,6
69462,6
69463,4
69464,6
69465,2
69466,6
69467,6
69468,4
69469,6
69471,6
69472,6
69473,4
69475,2
69476,6
69477,6
69478,4
69479,2
69480,6
69483,6
69484,6
69486,4
69488,2
69489,6
69490,6
69491,4
69493,2
69494,6
69495,6
69496,4
69498,2
69499,6
69500,6
69501,4
69502,6
69503,2
69504,6
69505,6
69506,4
69507,6
69508,2
69510,6
69511,4
69512,6
69513,2
69514,6
69515,6
69516,4
69518,2
69519,6
69520,6
69522,6
69523,2
69525,6
69527,6
69528,2
69529,6
69530,6
69532,6
69535,6
69538,2
69539,6
69541,4
69542,5
69544,6
69545,6
69546,4
69547,5
69548,2
69549,6
69550,6
69551,4
69553,2
69554,6
69555,6
69557,5
69558,2
69559,6
69561,4
69563,2
69564,6
69565,6
69566,4
69567,5
69568,2
69569,6
69570,6
69571,4
69572,5
69573,2
69574,6
69576,4
69578,2
69579,5
69580,6
69581,4
69582,5
69583,2
69584,4
69585,6
69587,5
69588,2
69589,4
69590,6
69592,5
69594,4
69595,6
69597,5
69598,2
69599,4
69601,4
69602,5
69603,2
69605,6
69606,4
69607,5
69608,2
69609,4
69610,6
69611,4
69612,5
69613,2
69614,4
69615,6
69616,4
69617,5
69619,4
69620,6
69622,5
69623,2
69624,4
69625,6
69626,4
69627,5
69628,2
69629,4
69630,6
69631,4
69632,5
69635,6
69637,5
69638,2
69639,4
69640,6
69641,4
69643,2
69644,4
69645,6
69646,4
69648,2
69650,6
69651,4
69652,5
69656,4
69657,5
69659,4
69660,6
69661,4
69662,5
69663,2
69664,4
69665,6
69667,5
69668,2
69670,6
69671,4
69672,5
69673,2
69674,4
69675,6
69676,4
69678,2
69679,4
69680,6
69681,4
69682,5
69683,2
69684,4
69685,6
69686,4
69688,2
69690,6
69693,2
69694,4
69696,4
69697,5
69698,2
69699,4
69700,6
69701,4
69702,5
69703,2
69704,4
69705,4
69706,5
69707,2
69709,6
69711,5
69713,4
69714,6
69716,5
69718,4
69719,6
69720,4
69721,5
69722,2
69723,4
69725,4
69727,2
69728,4
69729,6
69730,4
69731,5
69732,2
69733,4
69734,6
69735,4
69737,2
69738,4
69739,6
69742,2
69743,4
69745,4
69746,5
69747,2
69748,4
69749,6
69750,4
69751,5
69752,2
69753,4
69754,6
69755,4
69756,5
69757,2
69759,6
69760,4
69762,2
69763,4
69764,6
69765,4
69768,4
69770,4
69773,4
69774,6
69778,4
69779,6
69781,5
69782,2
69783,6
69785,5
69787,4
69789,4
69790,5
69792,4
69793,6
69794,4
69795,6
69798,6
69799,4
69800,2
69801,4
69802,6
69803,4
69804,6
69806,4
69807,6
69809,5
69810,2
69811,4
69813,4
69814,5
69815,2
69818,4
69819,5
69820,2
69821,4
69822,6
69823,4
69824,5
69825,2
69826,4
69827,6
69828,4
69829,5
69830,2
69832,6
69834,5
69835,2
69837,6
69839,5
69840,2
69841,4
69842,6
69844,5
69845,2
69847,6
69848,4
69849,5
69850,2
69851,4
69852,6
69853,4
69854,5
69856,4
69861,4
69862,6
69863,4
69864,5
69865,2
69866,4
69868,4
69869,5
69870,2
69874,5
69876,4
69877,6
69878,4
69879,5
69880,2
69881,4
69882,6
69886,4
69887,6
69888,4
69889,5
69890,2
69891,4
69892,6
69896,4
69897,6
69898,4
69899,5
69900,2
69901,4
69902,6
69903,4
69904,5
69905,2
69906,4
69910,2
69912,6
69913,4
69914,6
69915,2
69916,4
69917,6
69918,4
69919,6
69920,2
69922,6
69923,4
69924,6
69925,2
69926,4
69929,2
69931,6
69932,4
69933,6
69935,4
69936,6
69937,4
69938,6
69941,6
69944,2
69945,4
69946,6
69948,6
69949,2
69950,4
69951,6
69953,6
69954,2
69955,4
69957,4
69958,6
69959,2
69960,4
69961,6
69962,4
69964,2
69965,4
69967,4
69968,6
69969,2
69970,4
69971,6
69972,4
69973,6
69975,4
69977,4
69978,6
69979,2
69980,4
69981,6
69982,4
69985,4
69986,6
69987,4
69990,4
69991,6
69992,4
69993,5
69994,2
69995,4
